Sr no,Menu Name,Stage 1,,,Stage 2,,,Stage3,,,Stage4,,,Stage5,,,Comp On/Off,Active,HACCP Color,Image
,,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,,,,
1,2 HEAD RECIPE,15:30,323,YES,14:50,275,YES,01:15,280,YES,00:30,280,NO,00:00,270,NO,OFF,YES,POULTRY,menu5.png
2,4 HEAD RECIPE,13:45,345,YES,12:45,281,YES,01:30,290,YES,00:30,290,NO,00:00,270,NO,OFF,YES,POULTRY,menu2.png
3,6 HEAD RECIPE,13:45,355,YES,11:55,283,YES,02:00,300,YES,00:45,300,NO,00:00,270,NO,OFF,YES,POULTRY,menu3.png
4,8 HEAD RECIPE,13:45,360,YES,12:05,285,YES,02:00,300,YES,01:00,300,NO,00:00,323,NO,OFF,YES,POULTRY,menu4.png
5,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
6,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
7,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
8,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
9,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
10,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
11,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
12,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
13,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
14,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
15,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
16,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
17,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
18,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
19,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
20,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
21,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
22,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
23,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
24,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
25,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
26,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
27,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
28,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
29,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
30,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
31,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
32,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
33,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
34,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
35,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
36,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
37,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
38,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
39,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
40,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
41,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
42,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
43,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
44,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
45,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
46,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
47,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
